BATCH 41 training acc=0.781250, cost=0.583092, test acc=0.819971, cost=0.460076, disagree_f1=0.701453, neural_f1=0.936341, agree_f1=0.316920, average_f1=0.651571
BATCH 42 training acc=0.656250, cost=0.716719, test acc=0.819615, cost=0.461070, disagree_f1=0.692414, neural_f1=0.936422, agree_f1=0.352645, average_f1=0.660494
BATCH 43 training acc=0.687500, cost=0.652070, test acc=0.811331, cost=0.467426, disagree_f1=0.650452, neural_f1=0.936442, agree_f1=0.407010, average_f1=0.664635
BATCH 44 training acc=0.687500, cost=0.768538, test acc=0.802512, cost=0.480510, disagree_f1=0.624495, neural_f1=0.934805, agree_f1=0.427978, average_f1=0.662426
BATCH 45 training acc=0.687500, cost=0.846826, test acc=0.784963, cost=0.516558, disagree_f1=0.601153, neural_f1=0.928488, agree_f1=0.429757, average_f1=0.653133
BATCH 46 training acc=0.812500, cost=0.430674, test acc=0.759754, cost=0.562829, disagree_f1=0.564830, neural_f1=0.915724, agree_f1=0.423512, average_f1=0.634689
BATCH 47 training acc=0.718750, cost=0.656756, test acc=0.737217, cost=0.611114, disagree_f1=0.554223, neural_f1=0.899689, agree_f1=0.406522, average_f1=0.620144
BATCH 48 training acc=0.718750, cost=0.599488, test acc=0.729735, cost=0.625418, disagree_f1=0.555347, neural_f1=0.892204, agree_f1=0.402304, average_f1=0.616618
BATCH 49 training acc=0.625000, cost=0.696631, test acc=0.738108, cost=0.608014, disagree_f1=0.574512, neural_f1=0.895935, agree_f1=0.402669, average_f1=0.624372
BATCH 50 training acc=0.781250, cost=0.587665, test acc=0.741404, cost=0.603815, disagree_f1=0.606976, neural_f1=0.891362, agree_f1=0.395110, average_f1=0.631149
BATCH 51 training acc=0.656250, cost=0.774570, test acc=0.761625, cost=0.567388, disagree_f1=0.633135, neural_f1=0.903468, agree_f1=0.400000, average_f1=0.645534
BATCH 52 training acc=0.687500, cost=0.629363, test acc=0.786211, cost=0.517716, disagree_f1=0.654385, neural_f1=0.920537, agree_f1=0.397519, average_f1=0.657480
BATCH 53 training acc=0.625000, cost=0.660553, test acc=0.801443, cost=0.496054, disagree_f1=0.680572, neural_f1=0.927651, agree_f1=0.381153, average_f1=0.663125
BATCH 54 training acc=0.781250, cost=0.452305, test acc=0.807500, cost=0.490899, disagree_f1=0.700055, neural_f1=0.928937, agree_f1=0.348337, average_f1=0.659110
BATCH 55 training acc=0.750000, cost=0.611059, test acc=0.805006, cost=0.500609, disagree_f1=0.705757, neural_f1=0.925756, agree_f1=0.331051, average_f1=0.654188
BATCH 56 training acc=0.687500, cost=0.684306, test acc=0.807144, cost=0.494050, disagree_f1=0.708561, neural_f1=0.927947, agree_f1=0.310794, average_f1=0.649101
BATCH 57 training acc=0.562500, cost=0.756243, test acc=0.802779, cost=0.503111, disagree_f1=0.706701, neural_f1=0.924960, agree_f1=0.306478, average_f1=0.646047
BATCH 58 training acc=0.656250, cost=0.636452, test acc=0.809282, cost=0.487586, disagree_f1=0.710392, neural_f1=0.929611, agree_f1=0.305448, average_f1=0.648484
BATCH 59 training acc=0.750000, cost=0.541714, test acc=0.809727, cost=0.488274, disagree_f1=0.708965, neural_f1=0.929691, agree_f1=0.328235, average_f1=0.655630
BATCH 60 training acc=0.781250, cost=0.564412, test acc=0.810796, cost=0.483182, disagree_f1=0.705171, neural_f1=0.930896, agree_f1=0.357590, average_f1=0.664552
BATCH 61 training acc=0.687500, cost=0.691477, test acc=0.813201, cost=0.472192, disagree_f1=0.697551, neural_f1=0.933837, agree_f1=0.373996, average_f1=0.668461
BATCH 62 training acc=0.656250, cost=0.668969, test acc=0.807590, cost=0.479575, disagree_f1=0.678983, neural_f1=0.933168, agree_f1=0.400138, average_f1=0.670763
BATCH 63 training acc=0.625000, cost=0.756099, test acc=0.796544, cost=0.499487, disagree_f1=0.652597, neural_f1=0.930016, agree_f1=0.417337, average_f1=0.666650
BATCH 64 training acc=0.750000, cost=0.475801, test acc=0.783093, cost=0.539331, disagree_f1=0.637879, neural_f1=0.922143, agree_f1=0.425284, average_f1=0.661769
BATCH 65 training acc=0.718750, cost=0.496877, test acc=0.751559, cost=0.590235, disagree_f1=0.568102, neural_f1=0.908790, agree_f1=0.424285, average_f1=0.633726
BATCH 66 training acc=0.812500, cost=0.769537, test acc=0.728666, cost=0.640657, disagree_f1=0.518132, neural_f1=0.895203, agree_f1=0.429679, average_f1=0.614338
BATCH 67 training acc=0.687500, cost=0.775626, test acc=0.720738, cost=0.642891, disagree_f1=0.472412, neural_f1=0.896208, agree_f1=0.429374, average_f1=0.599331
BATCH 68 training acc=0.687500, cost=0.605777, test acc=0.695083, cost=0.634752, disagree_f1=0.281463, neural_f1=0.901331, agree_f1=0.420610, average_f1=0.534468
BATCH 69 training acc=0.625000, cost=0.777185, test acc=0.698913, cost=0.588952, disagree_f1=0.165986, neural_f1=0.916643, agree_f1=0.424798, average_f1=0.502476
BATCH 70 training acc=0.656250, cost=0.636073, test acc=0.731160, cost=0.542700, disagree_f1=0.267988, neural_f1=0.929540, agree_f1=0.447454, average_f1=0.548327
BATCH 71 training acc=0.656250, cost=0.605085, test acc=0.773918, cost=0.509835, disagree_f1=0.479065, neural_f1=0.934796, agree_f1=0.472667, average_f1=0.628842
