Using GPU: 0...
X_train.shape=(33444, 2, 64), y_train.shape=(33444,);
X_test.shape=(11226, 2, 64), y_test.shape=(11226,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9516045739579491
model.bilstm.bilstm.weight_ih_l0
model.bilstm.bilstm.weight_hh_l0
model.bilstm.bilstm.bias_ih_l0
model.bilstm.bilstm.bias_hh_l0
model.bilstm.bilstm.weight_ih_l0_reverse
model.bilstm.bilstm.weight_hh_l0_reverse
model.bilstm.bilstm.bias_ih_l0_reverse
model.bilstm.bilstm.bias_hh_l0_reverse
model.quote_attention_Wy.weight
model.quote_attention_Wh.weight
model.quote_attention_Wa.weight
model.response_attention_Wy.weight
model.response_attention_Wh.weight
model.response_attention_Wa.weight
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 82 training acc=0.687500, cost=0.663935, test acc=0.727062, cost=0.657844, disagree_f1=0.546716, neural_f1=0.888233, agree_f1=0.428249, average_f1=0.621066
BATCH 83 training acc=0.625000, cost=0.588620, test acc=0.732674, cost=0.658000, disagree_f1=0.579085, neural_f1=0.886522, agree_f1=0.429086, average_f1=0.631564
BATCH 84 training acc=0.593750, cost=0.809918, test acc=0.744789, cost=0.628527, disagree_f1=0.579627, neural_f1=0.897267, agree_f1=0.440227, average_f1=0.639040
BATCH 85 training acc=0.687500, cost=0.634986, test acc=0.768306, cost=0.589966, disagree_f1=0.631696, neural_f1=0.907910, agree_f1=0.446180, average_f1=0.661929
BATCH 86 training acc=0.656250, cost=0.717041, test acc=0.793782, cost=0.541070, disagree_f1=0.682787, neural_f1=0.919076, agree_f1=0.444381, average_f1=0.682081
BATCH 87 training acc=0.625000, cost=0.631519, test acc=0.816586, cost=0.493402, disagree_f1=0.712563, neural_f1=0.931673, agree_f1=0.435671, average_f1=0.693302
BATCH 88 training acc=0.781250, cost=0.577101, test acc=0.831908, cost=0.456242, disagree_f1=0.728059, neural_f1=0.940904, agree_f1=0.406504, average_f1=0.691822
BATCH 89 training acc=0.562500, cost=0.963608, test acc=0.836540, cost=0.442762, disagree_f1=0.730530, neural_f1=0.942071, agree_f1=0.396325, average_f1=0.689642
BATCH 90 training acc=0.750000, cost=0.624828, test acc=0.836718, cost=0.438675, disagree_f1=0.727856, neural_f1=0.941326, agree_f1=0.390045, average_f1=0.686409
BATCH 91 training acc=0.781250, cost=0.552576, test acc=0.837520, cost=0.434613, disagree_f1=0.729390, neural_f1=0.941122, agree_f1=0.378404, average_f1=0.682972
BATCH 92 training acc=0.656250, cost=0.709399, test acc=0.837342, cost=0.432990, disagree_f1=0.729938, neural_f1=0.941814, agree_f1=0.382744, average_f1=0.684832
BATCH 93 training acc=0.781250, cost=0.595467, test acc=0.837164, cost=0.431525, disagree_f1=0.727618, neural_f1=0.942274, agree_f1=0.404032, average_f1=0.691308
BATCH 94 training acc=0.781250, cost=0.520693, test acc=0.835738, cost=0.434292, disagree_f1=0.719562, neural_f1=0.943180, agree_f1=0.442778, average_f1=0.701840
BATCH 95 training acc=0.656250, cost=0.872451, test acc=0.827632, cost=0.450897, disagree_f1=0.702518, neural_f1=0.940758, agree_f1=0.467759, average_f1=0.703678
BATCH 96 training acc=0.843750, cost=0.402420, test acc=0.815785, cost=0.472431, disagree_f1=0.692092, neural_f1=0.934037, agree_f1=0.461538, average_f1=0.695889
BATCH 97 training acc=0.750000, cost=0.485574, test acc=0.808302, cost=0.493498, disagree_f1=0.688583, neural_f1=0.928737, agree_f1=0.458934, average_f1=0.692085
BATCH 98 training acc=0.718750, cost=0.690930, test acc=0.801799, cost=0.513293, disagree_f1=0.681230, neural_f1=0.924188, agree_f1=0.466726, average_f1=0.690714
