Using GPU: 1...
X_train.shape=(33444, 2, 64), y_train.shape=(33444,);
X_test.shape=(11226, 2, 64), y_test.shape=(11226,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9516045739579491
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.cross_dot_v2_r2q_attention_layer.0.weight
model.cross_dot_v2_r2q_attention_layer.0.bias
model.cross_dot_v2_q2r_attention_layer.0.weight
model.cross_dot_v2_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.343750, cost=1.099054, test acc=0.233565, cost=1.125920, disagree_f1=0.378593, neural_f1=0.000000, agree_f1=0.001513, average_f1=0.126702
BATCH 16 training acc=0.562500, cost=0.692788, test acc=0.746036, cost=0.626986, disagree_f1=0.662871, neural_f1=0.889402, agree_f1=0.317762, average_f1=0.623345
BATCH 17 training acc=0.625000, cost=0.806849, test acc=0.768038, cost=0.578082, disagree_f1=0.678752, neural_f1=0.901638, agree_f1=0.299333, average_f1=0.626574
BATCH 18 training acc=0.656250, cost=0.647193, test acc=0.771958, cost=0.572411, disagree_f1=0.684462, neural_f1=0.903116, agree_f1=0.297241, average_f1=0.628273
BATCH 19 training acc=0.718750, cost=0.576682, test acc=0.765812, cost=0.585728, disagree_f1=0.678277, neural_f1=0.898994, agree_f1=0.301205, average_f1=0.626158
BATCH 20 training acc=0.593750, cost=0.821869, test acc=0.754053, cost=0.611430, disagree_f1=0.667040, neural_f1=0.890593, agree_f1=0.320415, average_f1=0.626016
BATCH 21 training acc=0.656250, cost=0.912443, test acc=0.727775, cost=0.673581, disagree_f1=0.623418, neural_f1=0.874695, agree_f1=0.350478, average_f1=0.616197
BATCH 22 training acc=0.718750, cost=0.888514, test acc=0.685284, cost=0.774348, disagree_f1=0.557461, neural_f1=0.846554, agree_f1=0.365905, average_f1=0.589974
BATCH 23 training acc=0.593750, cost=0.618359, test acc=0.644041, cost=0.896693, disagree_f1=0.505613, neural_f1=0.813546, agree_f1=0.361848, average_f1=0.560336
BATCH 24 training acc=0.562500, cost=0.892320, test acc=0.637449, cost=0.897023, disagree_f1=0.461356, neural_f1=0.815266, agree_f1=0.369527, average_f1=0.548716
BATCH 25 training acc=0.718750, cost=0.562126, test acc=0.660431, cost=0.797599, disagree_f1=0.409786, neural_f1=0.848888, agree_f1=0.388246, average_f1=0.548973
BATCH 26 training acc=0.718750, cost=0.633264, test acc=0.700338, cost=0.709611, disagree_f1=0.480945, neural_f1=0.873933, agree_f1=0.404224, average_f1=0.586368
BATCH 27 training acc=0.593750, cost=0.768088, test acc=0.740602, cost=0.602367, disagree_f1=0.535739, neural_f1=0.899836, agree_f1=0.416707, average_f1=0.617427
BATCH 28 training acc=0.687500, cost=0.718125, test acc=0.784696, cost=0.525012, disagree_f1=0.600457, neural_f1=0.926342, agree_f1=0.420323, average_f1=0.649041
BATCH 29 training acc=0.625000, cost=0.747437, test acc=0.801799, cost=0.487171, disagree_f1=0.610860, neural_f1=0.934489, agree_f1=0.422861, average_f1=0.656070
BATCH 30 training acc=0.625000, cost=0.822380, test acc=0.809638, cost=0.477975, disagree_f1=0.638195, neural_f1=0.934356, agree_f1=0.409569, average_f1=0.660707
BATCH 31 training acc=0.656250, cost=0.867864, test acc=0.814270, cost=0.471959, disagree_f1=0.659920, neural_f1=0.934618, agree_f1=0.386364, average_f1=0.660300
BATCH 32 training acc=0.562500, cost=0.839107, test acc=0.813291, cost=0.472351, disagree_f1=0.657095, neural_f1=0.934975, agree_f1=0.393267, average_f1=0.661779
BATCH 33 training acc=0.718750, cost=0.662636, test acc=0.814360, cost=0.479844, disagree_f1=0.675462, neural_f1=0.934341, agree_f1=0.382250, average_f1=0.664017
BATCH 34 training acc=0.750000, cost=0.509043, test acc=0.816319, cost=0.499720, disagree_f1=0.702188, neural_f1=0.931652, agree_f1=0.366680, average_f1=0.666840
BATCH 35 training acc=0.718750, cost=0.634412, test acc=0.787369, cost=0.542434, disagree_f1=0.682215, neural_f1=0.908989, agree_f1=0.349962, average_f1=0.647055
BATCH 36 training acc=0.718750, cost=0.901649, test acc=0.769107, cost=0.590507, disagree_f1=0.670334, neural_f1=0.895452, agree_f1=0.354605, average_f1=0.640130
BATCH 37 training acc=0.687500, cost=0.632973, test acc=0.739979, cost=0.651725, disagree_f1=0.635217, neural_f1=0.877912, agree_f1=0.360339, average_f1=0.624489
BATCH 38 training acc=0.750000, cost=0.600040, test acc=0.716729, cost=0.693560, disagree_f1=0.586957, neural_f1=0.867046, agree_f1=0.381755, average_f1=0.611919
BATCH 39 training acc=0.531250, cost=0.838893, test acc=0.700695, cost=0.722813, disagree_f1=0.542387, neural_f1=0.860956, agree_f1=0.391637, average_f1=0.598327
BATCH 40 training acc=0.500000, cost=0.640113, test acc=0.695172, cost=0.729014, disagree_f1=0.513094, neural_f1=0.861620, agree_f1=0.397773, average_f1=0.590829
BATCH 41 training acc=0.531250, cost=0.785402, test acc=0.703813, cost=0.712957, disagree_f1=0.520676, neural_f1=0.868565, agree_f1=0.401663, average_f1=0.596968
BATCH 42 training acc=0.718750, cost=0.635357, test acc=0.722252, cost=0.676843, disagree_f1=0.548549, neural_f1=0.881194, agree_f1=0.402156, average_f1=0.610633
BATCH 43 training acc=0.750000, cost=0.619085, test acc=0.749065, cost=0.623198, disagree_f1=0.590948, neural_f1=0.897177, agree_f1=0.407716, average_f1=0.631947
BATCH 44 training acc=0.750000, cost=0.599300, test acc=0.767148, cost=0.574417, disagree_f1=0.605085, neural_f1=0.910589, agree_f1=0.406463, average_f1=0.640712
BATCH 45 training acc=0.687500, cost=0.636776, test acc=0.795118, cost=0.527114, disagree_f1=0.652662, neural_f1=0.927204, agree_f1=0.391007, average_f1=0.656958
BATCH 46 training acc=0.656250, cost=0.650487, test acc=0.811865, cost=0.493520, disagree_f1=0.689696, neural_f1=0.932729, agree_f1=0.361100, average_f1=0.661175
BATCH 47 training acc=0.750000, cost=0.525666, test acc=0.820150, cost=0.470482, disagree_f1=0.707271, neural_f1=0.934668, agree_f1=0.312698, average_f1=0.651545
BATCH 48 training acc=0.656250, cost=0.674083, test acc=0.823713, cost=0.463821, disagree_f1=0.710401, neural_f1=0.935793, agree_f1=0.292754, average_f1=0.646316
BATCH 49 training acc=0.625000, cost=0.783403, test acc=0.823891, cost=0.463074, disagree_f1=0.709579, neural_f1=0.935405, agree_f1=0.281033, average_f1=0.642006
BATCH 50 training acc=0.593750, cost=1.016665, test acc=0.823891, cost=0.462919, disagree_f1=0.708293, neural_f1=0.935017, agree_f1=0.288111, average_f1=0.643807
BATCH 51 training acc=0.593750, cost=0.862665, test acc=0.823891, cost=0.462556, disagree_f1=0.706222, neural_f1=0.935982, agree_f1=0.308203, average_f1=0.650136
BATCH 52 training acc=0.625000, cost=0.740748, test acc=0.821486, cost=0.464992, disagree_f1=0.706493, neural_f1=0.935267, agree_f1=0.319639, average_f1=0.653799
BATCH 53 training acc=0.593750, cost=0.636092, test acc=0.816943, cost=0.473466, disagree_f1=0.699355, neural_f1=0.935278, agree_f1=0.344743, average_f1=0.659792
BATCH 54 training acc=0.531250, cost=0.934151, test acc=0.806253, cost=0.496376, disagree_f1=0.678289, neural_f1=0.931018, agree_f1=0.382498, average_f1=0.663935
BATCH 55 training acc=0.562500, cost=0.751763, test acc=0.785142, cost=0.536605, disagree_f1=0.625443, neural_f1=0.923962, agree_f1=0.420154, average_f1=0.656520
BATCH 56 training acc=0.718750, cost=0.598442, test acc=0.747283, cost=0.588894, disagree_f1=0.498830, neural_f1=0.912499, agree_f1=0.438479, average_f1=0.616603
BATCH 57 training acc=0.656250, cost=0.722228, test acc=0.667201, cost=0.660099, disagree_f1=0.132192, neural_f1=0.892509, agree_f1=0.401591, average_f1=0.475431
BATCH 58 training acc=0.718750, cost=0.573864, test acc=0.639141, cost=0.719834, disagree_f1=0.052367, neural_f1=0.877042, agree_f1=0.386056, average_f1=0.438488
BATCH 59 training acc=0.750000, cost=0.606592, test acc=0.618920, cost=0.767472, disagree_f1=0.062390, neural_f1=0.857729, agree_f1=0.376536, average_f1=0.432218
BATCH 60 training acc=0.593750, cost=0.861345, test acc=0.623018, cost=0.770343, disagree_f1=0.130463, neural_f1=0.853852, agree_f1=0.381453, average_f1=0.455256
BATCH 61 training acc=0.531250, cost=0.832814, test acc=0.666399, cost=0.744332, disagree_f1=0.385083, neural_f1=0.857425, agree_f1=0.403410, average_f1=0.548640
BATCH 62 training acc=0.687500, cost=0.705749, test acc=0.705772, cost=0.697507, disagree_f1=0.540156, neural_f1=0.866556, agree_f1=0.407034, average_f1=0.604582
BATCH 63 training acc=0.531250, cost=0.931097, test acc=0.736415, cost=0.631073, disagree_f1=0.589500, neural_f1=0.885620, agree_f1=0.412737, average_f1=0.629286
BATCH 64 training acc=0.812500, cost=0.523075, test acc=0.753251, cost=0.593455, disagree_f1=0.612042, neural_f1=0.895951, agree_f1=0.418556, average_f1=0.642183
BATCH 65 training acc=0.750000, cost=0.666839, test acc=0.774007, cost=0.564220, disagree_f1=0.630795, neural_f1=0.912154, agree_f1=0.428804, average_f1=0.657251
BATCH 66 training acc=0.718750, cost=0.637305, test acc=0.779619, cost=0.546408, disagree_f1=0.628028, neural_f1=0.917219, agree_f1=0.436643, average_f1=0.660630
BATCH 67 training acc=0.687500, cost=0.717622, test acc=0.784162, cost=0.533728, disagree_f1=0.625657, neural_f1=0.920889, agree_f1=0.444506, average_f1=0.663684
BATCH 68 training acc=0.718750, cost=0.991281, test acc=0.786478, cost=0.519715, disagree_f1=0.617168, neural_f1=0.924158, agree_f1=0.447288, average_f1=0.662871
BATCH 69 training acc=0.718750, cost=0.546641, test acc=0.795564, cost=0.501648, disagree_f1=0.628786, neural_f1=0.928828, agree_f1=0.452027, average_f1=0.669880
BATCH 70 training acc=0.531250, cost=0.922281, test acc=0.805808, cost=0.488027, disagree_f1=0.652790, neural_f1=0.931880, agree_f1=0.453750, average_f1=0.679473
BATCH 71 training acc=0.687500, cost=0.684734, test acc=0.814983, cost=0.478081, disagree_f1=0.683824, neural_f1=0.933033, agree_f1=0.443532, average_f1=0.686796
BATCH 72 training acc=0.781250, cost=0.502835, test acc=0.818190, cost=0.474987, disagree_f1=0.702015, neural_f1=0.931935, agree_f1=0.430959, average_f1=0.688303
BATCH 73 training acc=0.750000, cost=0.591347, test acc=0.816586, cost=0.477778, disagree_f1=0.705563, neural_f1=0.930489, agree_f1=0.424900, average_f1=0.686984
BATCH 74 training acc=0.625000, cost=0.828773, test acc=0.808926, cost=0.496568, disagree_f1=0.706764, neural_f1=0.924901, agree_f1=0.419677, average_f1=0.683780
BATCH 75 training acc=0.750000, cost=0.468611, test acc=0.795208, cost=0.525631, disagree_f1=0.696407, neural_f1=0.916708, agree_f1=0.421505, average_f1=0.678207
BATCH 76 training acc=0.593750, cost=0.726187, test acc=0.780777, cost=0.557972, disagree_f1=0.686663, neural_f1=0.907760, agree_f1=0.411932, average_f1=0.668785
BATCH 77 training acc=0.812500, cost=0.528840, test acc=0.776946, cost=0.563209, disagree_f1=0.679361, neural_f1=0.906555, agree_f1=0.414114, average_f1=0.666677
BATCH 78 training acc=0.625000, cost=0.732715, test acc=0.785320, cost=0.544016, disagree_f1=0.679776, neural_f1=0.913359, agree_f1=0.423239, average_f1=0.672125
BATCH 79 training acc=0.781250, cost=0.566835, test acc=0.798147, cost=0.511520, disagree_f1=0.674473, neural_f1=0.923270, agree_f1=0.441574, average_f1=0.679772
BATCH 80 training acc=0.750000, cost=0.632375, test acc=0.804115, cost=0.495303, disagree_f1=0.677494, neural_f1=0.926971, agree_f1=0.436137, average_f1=0.680201
BATCH 81 training acc=0.656250, cost=0.861787, test acc=0.812222, cost=0.482180, disagree_f1=0.674143, neural_f1=0.931721, agree_f1=0.444297, average_f1=0.683387
BATCH 82 training acc=0.625000, cost=0.599472, test acc=0.820239, cost=0.468198, disagree_f1=0.682734, neural_f1=0.933449, agree_f1=0.431151, average_f1=0.682445
BATCH 83 training acc=0.625000, cost=0.786750, test acc=0.820150, cost=0.465228, disagree_f1=0.677271, neural_f1=0.932361, agree_f1=0.430995, average_f1=0.680209
BATCH 84 training acc=0.625000, cost=0.851084, test acc=0.822020, cost=0.459447, disagree_f1=0.687922, neural_f1=0.935441, agree_f1=0.414815, average_f1=0.679392
BATCH 85 training acc=0.687500, cost=0.680772, test acc=0.821575, cost=0.460663, disagree_f1=0.690665, neural_f1=0.937450, agree_f1=0.416948, average_f1=0.681687
BATCH 86 training acc=0.593750, cost=0.955766, test acc=0.818546, cost=0.471333, disagree_f1=0.682784, neural_f1=0.937432, agree_f1=0.441398, average_f1=0.687205
BATCH 87 training acc=0.625000, cost=0.565204, test acc=0.815785, cost=0.483122, disagree_f1=0.685046, neural_f1=0.936103, agree_f1=0.448993, average_f1=0.690047
BATCH 88 training acc=0.781250, cost=0.546943, test acc=0.808926, cost=0.491472, disagree_f1=0.683220, neural_f1=0.931323, agree_f1=0.441139, average_f1=0.685227
BATCH 89 training acc=0.750000, cost=0.604445, test acc=0.804026, cost=0.506270, disagree_f1=0.685223, neural_f1=0.927757, agree_f1=0.440159, average_f1=0.684380
BATCH 90 training acc=0.812500, cost=0.502468, test acc=0.802601, cost=0.509858, disagree_f1=0.689531, neural_f1=0.925575, agree_f1=0.433915, average_f1=0.683007
BATCH 91 training acc=0.781250, cost=0.512058, test acc=0.803225, cost=0.509647, disagree_f1=0.691676, neural_f1=0.924269, agree_f1=0.437719, average_f1=0.684555
BATCH 92 training acc=0.656250, cost=0.680377, test acc=0.804739, cost=0.501778, disagree_f1=0.687080, neural_f1=0.925369, agree_f1=0.450000, average_f1=0.687483
BATCH 93 training acc=0.812500, cost=0.477708, test acc=0.797435, cost=0.506627, disagree_f1=0.665314, neural_f1=0.924325, agree_f1=0.454274, average_f1=0.681304
BATCH 94 training acc=0.687500, cost=0.649545, test acc=0.794139, cost=0.503373, disagree_f1=0.643336, neural_f1=0.925621, agree_f1=0.462958, average_f1=0.677305
BATCH 95 training acc=0.812500, cost=0.489945, test acc=0.802067, cost=0.489069, disagree_f1=0.649886, neural_f1=0.929518, agree_f1=0.471795, average_f1=0.683733
BATCH 96 training acc=0.812500, cost=0.460176, test acc=0.804561, cost=0.476724, disagree_f1=0.637198, neural_f1=0.933398, agree_f1=0.480602, average_f1=0.683733
BATCH 97 training acc=0.718750, cost=0.543875, test acc=0.799216, cost=0.483988, disagree_f1=0.623113, neural_f1=0.932075, agree_f1=0.476330, average_f1=0.677173
BATCH 98 training acc=0.812500, cost=0.532732, test acc=0.797345, cost=0.489191, disagree_f1=0.617819, neural_f1=0.931313, agree_f1=0.479305, average_f1=0.676146
BATCH 99 training acc=0.562500, cost=0.652466, test acc=0.790665, cost=0.501481, disagree_f1=0.592090, neural_f1=0.931078, agree_f1=0.479934, average_f1=0.667701
BATCH 100 training acc=0.781250, cost=0.589658, test acc=0.780955, cost=0.525978, disagree_f1=0.576318, neural_f1=0.926064, agree_f1=0.478464, average_f1=0.660282
BATCH 101 training acc=0.843750, cost=0.533454, test acc=0.782291, cost=0.523375, disagree_f1=0.567416, neural_f1=0.928096, agree_f1=0.483449, average_f1=0.659654
BATCH 102 training acc=0.843750, cost=0.446809, test acc=0.784607, cost=0.517912, disagree_f1=0.576326, neural_f1=0.928756, agree_f1=0.481211, average_f1=0.662098
BATCH 103 training acc=0.875000, cost=0.587453, test acc=0.796989, cost=0.494872, disagree_f1=0.591151, neural_f1=0.935308, agree_f1=0.487845, average_f1=0.671435
BATCH 104 training acc=0.656250, cost=0.532294, test acc=0.805897, cost=0.479786, disagree_f1=0.623017, neural_f1=0.936319, agree_f1=0.490058, average_f1=0.683132
BATCH 105 training acc=0.781250, cost=0.431135, test acc=0.818279, cost=0.460995, disagree_f1=0.656982, neural_f1=0.938111, agree_f1=0.489046, average_f1=0.694713
BATCH 106 training acc=0.687500, cost=0.771577, test acc=0.829236, cost=0.450620, disagree_f1=0.691770, neural_f1=0.939787, agree_f1=0.480202, average_f1=0.703919
BATCH 107 training acc=0.656250, cost=0.993942, test acc=0.834135, cost=0.444774, disagree_f1=0.713418, neural_f1=0.939666, agree_f1=0.462687, average_f1=0.705257
BATCH 108 training acc=0.656250, cost=0.657052, test acc=0.834046, cost=0.442340, disagree_f1=0.719788, neural_f1=0.939752, agree_f1=0.449293, average_f1=0.702944
BATCH 109 training acc=0.656250, cost=0.824146, test acc=0.833868, cost=0.437669, disagree_f1=0.719696, neural_f1=0.940086, agree_f1=0.454473, average_f1=0.704752
BATCH 110 training acc=0.906250, cost=0.364479, test acc=0.833422, cost=0.436216, disagree_f1=0.714007, neural_f1=0.940614, agree_f1=0.475336, average_f1=0.709986
BATCH 111 training acc=0.656250, cost=0.777265, test acc=0.827721, cost=0.440148, disagree_f1=0.691639, neural_f1=0.940823, agree_f1=0.493637, average_f1=0.708700
BATCH 112 training acc=0.718750, cost=0.553948, test acc=0.814003, cost=0.458311, disagree_f1=0.661124, neural_f1=0.936711, agree_f1=0.495873, average_f1=0.697903
BATCH 113 training acc=0.656250, cost=0.679810, test acc=0.795386, cost=0.489378, disagree_f1=0.632735, neural_f1=0.928105, agree_f1=0.482999, average_f1=0.681280
BATCH 114 training acc=0.687500, cost=0.693377, test acc=0.775877, cost=0.526132, disagree_f1=0.606731, neural_f1=0.918311, agree_f1=0.465014, average_f1=0.663352
BATCH 115 training acc=0.687500, cost=0.623534, test acc=0.766435, cost=0.545490, disagree_f1=0.605517, neural_f1=0.910582, agree_f1=0.456082, average_f1=0.657394
BATCH 116 training acc=0.750000, cost=0.524582, test acc=0.772849, cost=0.543548, disagree_f1=0.632658, neural_f1=0.910818, agree_f1=0.456511, average_f1=0.666662
BATCH 117 training acc=0.812500, cost=0.636906, test acc=0.770265, cost=0.566186, disagree_f1=0.655570, neural_f1=0.903456, agree_f1=0.448645, average_f1=0.669223
BATCH 118 training acc=0.812500, cost=0.464616, test acc=0.776590, cost=0.566546, disagree_f1=0.690452, neural_f1=0.900511, agree_f1=0.438985, average_f1=0.676650
BATCH 119 training acc=0.781250, cost=0.415900, test acc=0.790130, cost=0.541552, disagree_f1=0.715692, neural_f1=0.906325, agree_f1=0.421569, average_f1=0.681195
BATCH 120 training acc=0.750000, cost=0.529495, test acc=0.795920, cost=0.524068, disagree_f1=0.720479, neural_f1=0.910557, agree_f1=0.410744, average_f1=0.680593
BATCH 121 training acc=0.718750, cost=0.735168, test acc=0.807768, cost=0.494988, disagree_f1=0.725267, neural_f1=0.920403, agree_f1=0.417409, average_f1=0.687693
BATCH 122 training acc=0.781250, cost=0.671136, test acc=0.821308, cost=0.463313, disagree_f1=0.728432, neural_f1=0.931157, agree_f1=0.433345, average_f1=0.697645
BATCH 123 training acc=0.687500, cost=0.568511, test acc=0.831908, cost=0.442638, disagree_f1=0.731976, neural_f1=0.938475, agree_f1=0.444864, average_f1=0.705105
BATCH 124 training acc=0.750000, cost=0.614817, test acc=0.833779, cost=0.431329, disagree_f1=0.722887, neural_f1=0.939369, agree_f1=0.459674, average_f1=0.707310
BATCH 125 training acc=0.843750, cost=0.428992, test acc=0.836006, cost=0.429732, disagree_f1=0.719872, neural_f1=0.940515, agree_f1=0.477612, average_f1=0.712666
BATCH 126 training acc=0.812500, cost=0.445938, test acc=0.834402, cost=0.431821, disagree_f1=0.716238, neural_f1=0.939939, agree_f1=0.481576, average_f1=0.712584
BATCH 127 training acc=0.656250, cost=0.698534, test acc=0.831285, cost=0.440576, disagree_f1=0.709545, neural_f1=0.939280, agree_f1=0.494367, average_f1=0.714397
BATCH 128 training acc=0.781250, cost=0.669198, test acc=0.819259, cost=0.461056, disagree_f1=0.693406, neural_f1=0.934864, agree_f1=0.486989, average_f1=0.705086
BATCH 129 training acc=0.750000, cost=0.555293, test acc=0.810618, cost=0.474122, disagree_f1=0.671030, neural_f1=0.933213, agree_f1=0.487496, average_f1=0.697246
BATCH 130 training acc=0.687500, cost=0.554113, test acc=0.805808, cost=0.479981, disagree_f1=0.657912, neural_f1=0.931597, agree_f1=0.489037, average_f1=0.692849
BATCH 131 training acc=0.593750, cost=0.680056, test acc=0.806788, cost=0.481073, disagree_f1=0.669431, neural_f1=0.929983, agree_f1=0.486456, average_f1=0.695290
BATCH 132 training acc=0.625000, cost=0.719066, test acc=0.815785, cost=0.468361, disagree_f1=0.694526, neural_f1=0.932174, agree_f1=0.483744, average_f1=0.703481
BATCH 133 training acc=0.812500, cost=0.540433, test acc=0.832264, cost=0.448858, disagree_f1=0.722766, neural_f1=0.938916, agree_f1=0.490437, average_f1=0.717373
BATCH 134 training acc=0.625000, cost=0.652850, test acc=0.834848, cost=0.439973, disagree_f1=0.727809, neural_f1=0.939781, agree_f1=0.481548, average_f1=0.716379
BATCH 135 training acc=0.937500, cost=0.474966, test acc=0.836273, cost=0.436332, disagree_f1=0.734235, neural_f1=0.940240, agree_f1=0.463470, average_f1=0.712649
BATCH 136 training acc=0.718750, cost=0.657804, test acc=0.834402, cost=0.439030, disagree_f1=0.732893, neural_f1=0.938764, agree_f1=0.460008, average_f1=0.710555
