Using GPU: 0...
X_train.shape=(33444, 2, 64), y_train.shape=(33444,);
X_test.shape=(11226, 2, 64), y_test.shape=(11226,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9516045739579491
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 49 training acc=0.562500, cost=0.751507, test acc=0.753251, cost=0.574805, disagree_f1=0.562500, neural_f1=0.910814, agree_f1=0.410244, average_f1=0.627853
BATCH 50 training acc=0.593750, cost=0.716303, test acc=0.769731, cost=0.551669, disagree_f1=0.548580, neural_f1=0.923972, agree_f1=0.434434, average_f1=0.635662
BATCH 51 training acc=0.656250, cost=0.612168, test acc=0.778728, cost=0.529197, disagree_f1=0.548620, neural_f1=0.930083, agree_f1=0.437517, average_f1=0.638740
BATCH 52 training acc=0.593750, cost=0.690562, test acc=0.777214, cost=0.526341, disagree_f1=0.542764, neural_f1=0.930341, agree_f1=0.438847, average_f1=0.637317
BATCH 53 training acc=0.593750, cost=0.686351, test acc=0.769107, cost=0.539322, disagree_f1=0.534386, neural_f1=0.926029, agree_f1=0.440313, average_f1=0.633576
BATCH 54 training acc=0.656250, cost=0.701384, test acc=0.747907, cost=0.569904, disagree_f1=0.515560, neural_f1=0.912624, agree_f1=0.430605, average_f1=0.619596
BATCH 55 training acc=0.500000, cost=0.964083, test acc=0.738375, cost=0.593657, disagree_f1=0.570205, neural_f1=0.897269, agree_f1=0.399728, average_f1=0.622401
BATCH 56 training acc=0.656250, cost=0.664072, test acc=0.732585, cost=0.628081, disagree_f1=0.570849, neural_f1=0.890155, agree_f1=0.399445, average_f1=0.620150
BATCH 57 training acc=0.781250, cost=0.689060, test acc=0.739533, cost=0.642408, disagree_f1=0.617043, neural_f1=0.886018, agree_f1=0.388611, average_f1=0.630558
BATCH 58 training acc=0.656250, cost=0.656096, test acc=0.760467, cost=0.605972, disagree_f1=0.674354, neural_f1=0.894145, agree_f1=0.341434, average_f1=0.636644
BATCH 59 training acc=0.500000, cost=0.816826, test acc=0.779352, cost=0.556356, disagree_f1=0.696454, neural_f1=0.906646, agree_f1=0.300218, average_f1=0.634439
BATCH 60 training acc=0.687500, cost=0.558582, test acc=0.808124, cost=0.509355, disagree_f1=0.718004, neural_f1=0.928228, agree_f1=0.267422, average_f1=0.637884
BATCH 61 training acc=0.656250, cost=0.763062, test acc=0.813825, cost=0.497173, disagree_f1=0.723018, neural_f1=0.931466, agree_f1=0.239120, average_f1=0.631201
BATCH 62 training acc=0.781250, cost=0.585407, test acc=0.815161, cost=0.493652, disagree_f1=0.722736, neural_f1=0.932269, agree_f1=0.238835, average_f1=0.631280
BATCH 63 training acc=0.656250, cost=0.567591, test acc=0.815518, cost=0.493041, disagree_f1=0.726123, neural_f1=0.931739, agree_f1=0.215886, average_f1=0.624583
BATCH 64 training acc=0.593750, cost=0.869963, test acc=0.810796, cost=0.496412, disagree_f1=0.723411, neural_f1=0.928773, agree_f1=0.170005, average_f1=0.607397
BATCH 65 training acc=0.656250, cost=0.841484, test acc=0.789239, cost=0.515839, disagree_f1=0.700778, neural_f1=0.911912, agree_f1=0.154097, average_f1=0.588929
