BATCH 69 training acc=0.625000, cost=0.708602, test acc=0.763050, cost=0.547390, disagree_f1=0.464256, neural_f1=0.927387, agree_f1=0.459535, average_f1=0.617059
BATCH 70 training acc=0.781250, cost=0.461285, test acc=0.778283, cost=0.527324, disagree_f1=0.517838, neural_f1=0.931320, agree_f1=0.467182, average_f1=0.638780
BATCH 71 training acc=0.593750, cost=0.673005, test acc=0.783182, cost=0.514124, disagree_f1=0.515295, neural_f1=0.934871, agree_f1=0.471939, average_f1=0.640702
BATCH 72 training acc=0.718750, cost=0.629433, test acc=0.798147, cost=0.494384, disagree_f1=0.573478, neural_f1=0.936869, agree_f1=0.473536, average_f1=0.661295
BATCH 73 training acc=0.562500, cost=0.668040, test acc=0.811687, cost=0.475826, disagree_f1=0.635150, neural_f1=0.937726, agree_f1=0.455925, average_f1=0.676267
BATCH 74 training acc=0.812500, cost=0.602815, test acc=0.822555, cost=0.463771, disagree_f1=0.689289, neural_f1=0.938002, agree_f1=0.413872, average_f1=0.680388
BATCH 75 training acc=0.750000, cost=0.613646, test acc=0.824693, cost=0.460766, disagree_f1=0.705674, neural_f1=0.938192, agree_f1=0.385455, average_f1=0.676440
BATCH 76 training acc=0.625000, cost=0.858438, test acc=0.823535, cost=0.463030, disagree_f1=0.708905, neural_f1=0.937251, agree_f1=0.385379, average_f1=0.677179
BATCH 77 training acc=0.656250, cost=0.873206, test acc=0.820684, cost=0.471238, disagree_f1=0.714066, neural_f1=0.935317, agree_f1=0.375000, average_f1=0.674794
BATCH 78 training acc=0.625000, cost=0.724492, test acc=0.811064, cost=0.492332, disagree_f1=0.714094, neural_f1=0.929410, agree_f1=0.371585, average_f1=0.671696
BATCH 79 training acc=0.500000, cost=0.686173, test acc=0.798058, cost=0.530043, disagree_f1=0.709702, neural_f1=0.920867, agree_f1=0.372510, average_f1=0.667693
BATCH 80 training acc=0.750000, cost=0.680840, test acc=0.771513, cost=0.590408, disagree_f1=0.700625, neural_f1=0.899775, agree_f1=0.357651, average_f1=0.652684
BATCH 81 training acc=0.781250, cost=0.592845, test acc=0.740424, cost=0.658931, disagree_f1=0.677523, neural_f1=0.874281, agree_f1=0.354651, average_f1=0.635485
BATCH 82 training acc=0.875000, cost=0.771939, test acc=0.729824, cost=0.692447, disagree_f1=0.666157, neural_f1=0.864084, agree_f1=0.370259, average_f1=0.633500
BATCH 83 training acc=0.593750, cost=0.774675, test acc=0.717353, cost=0.720375, disagree_f1=0.637525, neural_f1=0.857121, agree_f1=0.386799, average_f1=0.627148
BATCH 84 training acc=0.718750, cost=0.848638, test acc=0.721361, cost=0.699148, disagree_f1=0.628156, neural_f1=0.862430, agree_f1=0.397219, average_f1=0.629268
BATCH 85 training acc=0.750000, cost=0.596751, test acc=0.742206, cost=0.660913, disagree_f1=0.650099, neural_f1=0.877761, agree_f1=0.403315, average_f1=0.643725
BATCH 86 training acc=0.750000, cost=0.604440, test acc=0.773116, cost=0.590555, disagree_f1=0.673148, neural_f1=0.901898, agree_f1=0.412889, average_f1=0.662645
BATCH 87 training acc=0.843750, cost=0.542512, test acc=0.800196, cost=0.526486, disagree_f1=0.691936, neural_f1=0.921210, agree_f1=0.427835, average_f1=0.680327
BATCH 88 training acc=0.593750, cost=0.747141, test acc=0.811064, cost=0.489184, disagree_f1=0.688976, neural_f1=0.929683, agree_f1=0.434514, average_f1=0.684391
BATCH 89 training acc=0.718750, cost=0.641450, test acc=0.818546, cost=0.467813, disagree_f1=0.687649, neural_f1=0.933705, agree_f1=0.438165, average_f1=0.686507
BATCH 90 training acc=0.750000, cost=0.623827, test acc=0.821397, cost=0.456529, disagree_f1=0.682353, neural_f1=0.934596, agree_f1=0.441065, average_f1=0.686004
BATCH 91 training acc=0.812500, cost=0.551535, test acc=0.819259, cost=0.455972, disagree_f1=0.669187, neural_f1=0.934110, agree_f1=0.456293, average_f1=0.686530
BATCH 92 training acc=0.718750, cost=0.685375, test acc=0.816943, cost=0.462357, disagree_f1=0.658173, neural_f1=0.935493, agree_f1=0.476508, average_f1=0.690058
BATCH 93 training acc=0.562500, cost=0.901138, test acc=0.802868, cost=0.488745, disagree_f1=0.619513, neural_f1=0.934128, agree_f1=0.481020, average_f1=0.678220
BATCH 94 training acc=0.812500, cost=0.514958, test acc=0.779352, cost=0.521642, disagree_f1=0.543033, neural_f1=0.930530, agree_f1=0.473420, average_f1=0.648994
BATCH 95 training acc=0.750000, cost=0.619433, test acc=0.767771, cost=0.539176, disagree_f1=0.500259, neural_f1=0.927824, agree_f1=0.472326, average_f1=0.633470
BATCH 96 training acc=0.718750, cost=0.676141, test acc=0.754409, cost=0.558383, disagree_f1=0.450597, neural_f1=0.925009, agree_f1=0.463550, average_f1=0.613052
BATCH 97 training acc=0.750000, cost=0.741529, test acc=0.738999, cost=0.584351, disagree_f1=0.404393, neural_f1=0.919909, agree_f1=0.451857, average_f1=0.592053
BATCH 98 training acc=0.531250, cost=0.675574, test acc=0.740958, cost=0.596167, disagree_f1=0.450970, neural_f1=0.914693, agree_f1=0.452966, average_f1=0.606210
BATCH 99 training acc=0.843750, cost=0.513718, test acc=0.741849, cost=0.592786, disagree_f1=0.451177, neural_f1=0.915295, agree_f1=0.453582, average_f1=0.606685
BATCH 100 training acc=0.687500, cost=0.600501, test acc=0.735525, cost=0.587341, disagree_f1=0.399083, neural_f1=0.917868, agree_f1=0.449457, average_f1=0.588802
BATCH 101 training acc=0.437500, cost=0.941631, test acc=0.744433, cost=0.570705, disagree_f1=0.431141, neural_f1=0.920088, agree_f1=0.455178, average_f1=0.602136
BATCH 102 training acc=0.656250, cost=0.785997, test acc=0.751915, cost=0.556533, disagree_f1=0.457944, neural_f1=0.922200, agree_f1=0.459336, average_f1=0.613160
BATCH 103 training acc=0.687500, cost=0.646494, test acc=0.759932, cost=0.549045, disagree_f1=0.505753, neural_f1=0.921722, agree_f1=0.461330, average_f1=0.629602
BATCH 104 training acc=0.625000, cost=0.600603, test acc=0.774274, cost=0.535022, disagree_f1=0.578658, neural_f1=0.922145, agree_f1=0.459951, average_f1=0.653585
BATCH 105 training acc=0.687500, cost=0.591450, test acc=0.789774, cost=0.518663, disagree_f1=0.644517, neural_f1=0.922806, agree_f1=0.455467, average_f1=0.674263
BATCH 106 training acc=0.656250, cost=0.652715, test acc=0.802067, cost=0.504908, disagree_f1=0.692353, neural_f1=0.922622, agree_f1=0.434838, average_f1=0.683271
BATCH 107 training acc=0.718750, cost=0.571309, test acc=0.807679, cost=0.498666, disagree_f1=0.710619, neural_f1=0.922893, agree_f1=0.416079, average_f1=0.683197
BATCH 108 training acc=0.718750, cost=0.574905, test acc=0.811242, cost=0.489342, disagree_f1=0.718478, neural_f1=0.924449, agree_f1=0.402230, average_f1=0.681719
BATCH 109 training acc=0.750000, cost=0.726128, test acc=0.810885, cost=0.489632, disagree_f1=0.721144, neural_f1=0.923467, agree_f1=0.385992, average_f1=0.676867
BATCH 110 training acc=0.656250, cost=0.762180, test acc=0.809460, cost=0.494611, disagree_f1=0.719450, neural_f1=0.922241, agree_f1=0.392488, average_f1=0.678059
BATCH 111 training acc=0.812500, cost=0.467513, test acc=0.806610, cost=0.503463, disagree_f1=0.715334, neural_f1=0.920493, agree_f1=0.407852, average_f1=0.681226
BATCH 112 training acc=0.718750, cost=0.532796, test acc=0.799127, cost=0.515070, disagree_f1=0.700609, neural_f1=0.917159, agree_f1=0.423797, average_f1=0.680522
BATCH 113 training acc=0.843750, cost=0.416308, test acc=0.792624, cost=0.526299, disagree_f1=0.683811, neural_f1=0.915012, agree_f1=0.444377, average_f1=0.681067
BATCH 114 training acc=0.750000, cost=0.664952, test acc=0.793693, cost=0.514360, disagree_f1=0.671837, neural_f1=0.919406, agree_f1=0.455463, average_f1=0.682235
BATCH 115 training acc=0.593750, cost=0.840749, test acc=0.792713, cost=0.508433, disagree_f1=0.648918, neural_f1=0.923814, agree_f1=0.464452, average_f1=0.679061
BATCH 116 training acc=0.562500, cost=0.762997, test acc=0.790041, cost=0.508357, disagree_f1=0.634949, neural_f1=0.925199, agree_f1=0.463265, average_f1=0.674471
BATCH 117 training acc=0.687500, cost=0.832958, test acc=0.785409, cost=0.514181, disagree_f1=0.621554, neural_f1=0.923716, agree_f1=0.463528, average_f1=0.669599
BATCH 118 training acc=0.750000, cost=0.587161, test acc=0.784607, cost=0.513954, disagree_f1=0.616724, neural_f1=0.923986, agree_f1=0.463006, average_f1=0.667905
BATCH 119 training acc=0.593750, cost=0.888026, test acc=0.791644, cost=0.507945, disagree_f1=0.642747, neural_f1=0.924540, agree_f1=0.466093, average_f1=0.677793
BATCH 120 training acc=0.718750, cost=0.578559, test acc=0.798236, cost=0.503190, disagree_f1=0.674139, neural_f1=0.922870, agree_f1=0.462601, average_f1=0.686537
BATCH 121 training acc=0.625000, cost=0.806556, test acc=0.808391, cost=0.485124, disagree_f1=0.689932, neural_f1=0.927725, agree_f1=0.461106, average_f1=0.692921
BATCH 122 training acc=0.687500, cost=0.660655, test acc=0.809816, cost=0.484643, disagree_f1=0.699731, neural_f1=0.927217, agree_f1=0.445623, average_f1=0.690857
BATCH 123 training acc=0.593750, cost=0.748298, test acc=0.800552, cost=0.502948, disagree_f1=0.695094, neural_f1=0.920421, agree_f1=0.434048, average_f1=0.683188
BATCH 124 training acc=0.750000, cost=0.802083, test acc=0.787280, cost=0.529430, disagree_f1=0.683440, neural_f1=0.910781, agree_f1=0.430154, average_f1=0.674792
BATCH 125 training acc=0.781250, cost=0.459437, test acc=0.780064, cost=0.539959, disagree_f1=0.669323, neural_f1=0.907103, agree_f1=0.432641, average_f1=0.669689
BATCH 126 training acc=0.781250, cost=0.648598, test acc=0.785854, cost=0.523241, disagree_f1=0.672519, neural_f1=0.912132, agree_f1=0.430835, average_f1=0.671829
BATCH 127 training acc=0.656250, cost=0.589892, test acc=0.799305, cost=0.493784, disagree_f1=0.683701, neural_f1=0.922696, agree_f1=0.434700, average_f1=0.680366
BATCH 128 training acc=0.718750, cost=0.511122, test acc=0.814627, cost=0.463745, disagree_f1=0.687786, neural_f1=0.934247, agree_f1=0.448911, average_f1=0.690315
BATCH 129 training acc=0.625000, cost=0.645500, test acc=0.820061, cost=0.447646, disagree_f1=0.683237, neural_f1=0.937428, agree_f1=0.449564, average_f1=0.690076
BATCH 130 training acc=0.843750, cost=0.519213, test acc=0.821486, cost=0.444180, disagree_f1=0.674257, neural_f1=0.938080, agree_f1=0.458786, average_f1=0.690375
BATCH 131 training acc=0.781250, cost=0.604610, test acc=0.819348, cost=0.447921, disagree_f1=0.661926, neural_f1=0.938105, agree_f1=0.468273, average_f1=0.689435
BATCH 132 training acc=0.625000, cost=0.704090, test acc=0.816052, cost=0.454402, disagree_f1=0.650846, neural_f1=0.937551, agree_f1=0.474455, average_f1=0.687617
BATCH 133 training acc=0.687500, cost=0.787330, test acc=0.809995, cost=0.469410, disagree_f1=0.639694, neural_f1=0.936118, agree_f1=0.478208, average_f1=0.684674
BATCH 134 training acc=0.562500, cost=1.028750, test acc=0.802868, cost=0.487747, disagree_f1=0.631009, neural_f1=0.933599, agree_f1=0.476491, average_f1=0.680366
BATCH 135 training acc=0.687500, cost=0.617880, test acc=0.797256, cost=0.501513, disagree_f1=0.624943, neural_f1=0.931494, agree_f1=0.472376, average_f1=0.676271
BATCH 136 training acc=0.625000, cost=0.885684, test acc=0.787725, cost=0.523696, disagree_f1=0.613898, neural_f1=0.927205, agree_f1=0.465432, average_f1=0.668845
BATCH 137 training acc=0.687500, cost=0.703066, test acc=0.779708, cost=0.544890, disagree_f1=0.606711, neural_f1=0.921889, agree_f1=0.463291, average_f1=0.663964
BATCH 138 training acc=0.687500, cost=0.575692, test acc=0.774541, cost=0.557941, disagree_f1=0.611383, neural_f1=0.916482, agree_f1=0.457923, average_f1=0.661929
BATCH 139 training acc=0.625000, cost=0.737196, test acc=0.772671, cost=0.570338, disagree_f1=0.630737, neural_f1=0.909603, agree_f1=0.455348, average_f1=0.665229
BATCH 140 training acc=0.531250, cost=0.742642, test acc=0.775076, cost=0.562766, disagree_f1=0.646598, neural_f1=0.906682, agree_f1=0.452954, average_f1=0.668745
BATCH 141 training acc=0.656250, cost=0.590591, test acc=0.788883, cost=0.540920, disagree_f1=0.668892, neural_f1=0.913215, agree_f1=0.461942, average_f1=0.681350
BATCH 142 training acc=0.687500, cost=0.625227, test acc=0.795297, cost=0.527575, disagree_f1=0.679296, neural_f1=0.916553, agree_f1=0.462659, average_f1=0.686170
BATCH 143 training acc=0.750000, cost=0.694977, test acc=0.811242, cost=0.500710, disagree_f1=0.695920, neural_f1=0.926819, agree_f1=0.472656, average_f1=0.698465
BATCH 144 training acc=0.656250, cost=0.719460, test acc=0.820417, cost=0.481611, disagree_f1=0.698072, neural_f1=0.934771, agree_f1=0.482078, average_f1=0.704974
BATCH 145 training acc=0.781250, cost=0.506609, test acc=0.823624, cost=0.470127, disagree_f1=0.700762, neural_f1=0.936735, agree_f1=0.482850, average_f1=0.706783
BATCH 146 training acc=0.687500, cost=0.658562, test acc=0.828523, cost=0.455033, disagree_f1=0.699918, neural_f1=0.939978, agree_f1=0.487040, average_f1=0.708979
BATCH 147 training acc=0.875000, cost=0.416029, test acc=0.832799, cost=0.443830, disagree_f1=0.709131, neural_f1=0.941289, agree_f1=0.481375, average_f1=0.710598
BATCH 148 training acc=0.718750, cost=0.629476, test acc=0.832799, cost=0.440165, disagree_f1=0.709080, neural_f1=0.941200, agree_f1=0.479452, average_f1=0.709911
BATCH 149 training acc=0.593750, cost=0.846796, test acc=0.831463, cost=0.439317, disagree_f1=0.704305, neural_f1=0.940825, agree_f1=0.481310, average_f1=0.708813
BATCH 150 training acc=0.687500, cost=0.570638, test acc=0.830216, cost=0.442591, disagree_f1=0.704476, neural_f1=0.940743, agree_f1=0.479298, average_f1=0.708173
BATCH 151 training acc=0.812500, cost=0.524573, test acc=0.825673, cost=0.447735, disagree_f1=0.700989, neural_f1=0.938355, agree_f1=0.478969, average_f1=0.706104
BATCH 152 training acc=0.750000, cost=0.582605, test acc=0.817745, cost=0.458632, disagree_f1=0.689810, neural_f1=0.935090, agree_f1=0.477831, average_f1=0.700910
