BATCH 81 training acc=0.812500, cost=0.628184, test acc=0.751113, cost=0.585175, disagree_f1=0.451236, neural_f1=0.920762, agree_f1=0.456755, average_f1=0.609584
BATCH 82 training acc=0.750000, cost=0.620331, test acc=0.742740, cost=0.595892, disagree_f1=0.399419, neural_f1=0.921095, agree_f1=0.453853, average_f1=0.591456
BATCH 83 training acc=0.781250, cost=0.627453, test acc=0.740869, cost=0.597500, disagree_f1=0.403352, neural_f1=0.919253, agree_f1=0.451885, average_f1=0.591496
BATCH 84 training acc=0.750000, cost=0.556662, test acc=0.751024, cost=0.583083, disagree_f1=0.466137, neural_f1=0.918717, agree_f1=0.457342, average_f1=0.614065
BATCH 85 training acc=0.781250, cost=0.518259, test acc=0.766970, cost=0.551365, disagree_f1=0.539029, neural_f1=0.920931, agree_f1=0.461321, average_f1=0.640427
BATCH 86 training acc=0.531250, cost=0.915598, test acc=0.788348, cost=0.516460, disagree_f1=0.625169, neural_f1=0.922980, agree_f1=0.463454, average_f1=0.670534
BATCH 87 training acc=0.843750, cost=0.565706, test acc=0.812311, cost=0.483037, disagree_f1=0.687424, neural_f1=0.930113, agree_f1=0.457105, average_f1=0.691548
BATCH 88 training acc=0.656250, cost=0.803655, test acc=0.822555, cost=0.463402, disagree_f1=0.704297, neural_f1=0.934090, agree_f1=0.443459, average_f1=0.693949
BATCH 89 training acc=0.750000, cost=0.596911, test acc=0.825762, cost=0.453360, disagree_f1=0.716008, neural_f1=0.934595, agree_f1=0.410780, average_f1=0.687127
BATCH 90 training acc=0.656250, cost=0.720411, test acc=0.823713, cost=0.452304, disagree_f1=0.712067, neural_f1=0.934172, agree_f1=0.412429, average_f1=0.686223
BATCH 91 training acc=0.718750, cost=0.586258, test acc=0.817032, cost=0.466604, disagree_f1=0.710134, neural_f1=0.928819, agree_f1=0.413112, average_f1=0.684022
BATCH 92 training acc=0.562500, cost=0.899011, test acc=0.798058, cost=0.495058, disagree_f1=0.684419, neural_f1=0.913986, agree_f1=0.436691, average_f1=0.678365
BATCH 93 training acc=0.843750, cost=0.511458, test acc=0.785676, cost=0.519742, disagree_f1=0.670314, neural_f1=0.903499, agree_f1=0.441966, average_f1=0.671926
BATCH 94 training acc=0.656250, cost=0.663000, test acc=0.781757, cost=0.533353, disagree_f1=0.667707, neural_f1=0.899769, agree_f1=0.437632, average_f1=0.668369
BATCH 95 training acc=0.718750, cost=0.514554, test acc=0.750312, cost=0.618110, disagree_f1=0.633273, neural_f1=0.872418, agree_f1=0.436992, average_f1=0.647561
