BATCH 51 training acc=0.687500, cost=0.663620, test acc=0.803403, cost=0.531422, disagree_f1=0.689548, neural_f1=0.926802, agree_f1=0.374286, average_f1=0.663545
BATCH 52 training acc=0.718750, cost=0.828942, test acc=0.797702, cost=0.536151, disagree_f1=0.692350, neural_f1=0.921748, agree_f1=0.346039, average_f1=0.653379
BATCH 53 training acc=0.656250, cost=0.642188, test acc=0.781935, cost=0.550211, disagree_f1=0.676071, neural_f1=0.908265, agree_f1=0.344828, average_f1=0.643055
BATCH 54 training acc=0.687500, cost=0.672559, test acc=0.768840, cost=0.575720, disagree_f1=0.664925, neural_f1=0.897868, agree_f1=0.346072, average_f1=0.636288
BATCH 55 training acc=0.718750, cost=0.697989, test acc=0.772849, cost=0.568221, disagree_f1=0.657386, neural_f1=0.901862, agree_f1=0.380277, average_f1=0.646508
BATCH 56 training acc=0.531250, cost=0.780143, test acc=0.771513, cost=0.570079, disagree_f1=0.638153, neural_f1=0.903949, agree_f1=0.408215, average_f1=0.650106
BATCH 57 training acc=0.593750, cost=0.762588, test acc=0.773650, cost=0.558467, disagree_f1=0.618079, neural_f1=0.910479, agree_f1=0.425965, average_f1=0.651508
BATCH 58 training acc=0.593750, cost=0.744511, test acc=0.775967, cost=0.537632, disagree_f1=0.589469, neural_f1=0.918930, agree_f1=0.429885, average_f1=0.646095
BATCH 59 training acc=0.656250, cost=0.577267, test acc=0.783271, cost=0.532251, disagree_f1=0.565435, neural_f1=0.929867, agree_f1=0.445909, average_f1=0.647070
BATCH 60 training acc=0.687500, cost=0.667032, test acc=0.785409, cost=0.521329, disagree_f1=0.541282, neural_f1=0.933406, agree_f1=0.457903, average_f1=0.644197
BATCH 61 training acc=0.687500, cost=0.724927, test acc=0.789685, cost=0.512021, disagree_f1=0.548475, neural_f1=0.935471, agree_f1=0.456199, average_f1=0.646715
BATCH 62 training acc=0.687500, cost=0.759835, test acc=0.787903, cost=0.512732, disagree_f1=0.532860, neural_f1=0.935171, agree_f1=0.462510, average_f1=0.643514
BATCH 63 training acc=0.687500, cost=0.725260, test acc=0.789952, cost=0.509346, disagree_f1=0.548922, neural_f1=0.935178, agree_f1=0.452948, average_f1=0.645683
BATCH 64 training acc=0.562500, cost=1.051691, test acc=0.793070, cost=0.514427, disagree_f1=0.569086, neural_f1=0.935536, agree_f1=0.452374, average_f1=0.652332
BATCH 65 training acc=0.687500, cost=0.564798, test acc=0.796900, cost=0.515959, disagree_f1=0.599445, neural_f1=0.934696, agree_f1=0.444047, average_f1=0.659396
BATCH 66 training acc=0.750000, cost=0.603181, test acc=0.806431, cost=0.510195, disagree_f1=0.646247, neural_f1=0.934444, agree_f1=0.430164, average_f1=0.670285
BATCH 67 training acc=0.781250, cost=0.526065, test acc=0.820150, cost=0.503303, disagree_f1=0.701355, neural_f1=0.934914, agree_f1=0.400154, average_f1=0.678808
BATCH 68 training acc=0.718750, cost=0.631593, test acc=0.819437, cost=0.499908, disagree_f1=0.717387, neural_f1=0.933903, agree_f1=0.314989, average_f1=0.655427
BATCH 69 training acc=0.781250, cost=0.549090, test acc=0.816854, cost=0.503396, disagree_f1=0.720947, neural_f1=0.931690, agree_f1=0.274324, average_f1=0.642320
BATCH 70 training acc=0.687500, cost=0.595288, test acc=0.817210, cost=0.506394, disagree_f1=0.723308, neural_f1=0.931604, agree_f1=0.267633, average_f1=0.640848
BATCH 71 training acc=0.656250, cost=0.795601, test acc=0.811776, cost=0.521554, disagree_f1=0.722049, neural_f1=0.928095, agree_f1=0.264362, average_f1=0.638169
BATCH 72 training acc=0.500000, cost=1.034301, test acc=0.798682, cost=0.537496, disagree_f1=0.710021, neural_f1=0.917824, agree_f1=0.281617, average_f1=0.636487
BATCH 73 training acc=0.718750, cost=0.538087, test acc=0.792001, cost=0.550701, disagree_f1=0.705602, neural_f1=0.912563, agree_f1=0.287510, average_f1=0.635225
BATCH 74 training acc=0.781250, cost=0.499366, test acc=0.785943, cost=0.566501, disagree_f1=0.704542, neural_f1=0.908303, agree_f1=0.287089, average_f1=0.633311
BATCH 75 training acc=0.687500, cost=0.651274, test acc=0.768662, cost=0.603431, disagree_f1=0.701569, neural_f1=0.893762, agree_f1=0.296770, average_f1=0.630700
BATCH 76 training acc=0.750000, cost=0.642716, test acc=0.748708, cost=0.644425, disagree_f1=0.689196, neural_f1=0.877097, agree_f1=0.305867, average_f1=0.624053
BATCH 77 training acc=0.843750, cost=0.460932, test acc=0.729913, cost=0.690348, disagree_f1=0.679159, neural_f1=0.860243, agree_f1=0.334163, average_f1=0.624522
BATCH 78 training acc=0.718750, cost=0.801664, test acc=0.712097, cost=0.716413, disagree_f1=0.657036, neural_f1=0.847921, agree_f1=0.353371, average_f1=0.619443
BATCH 79 training acc=0.750000, cost=0.575374, test acc=0.687066, cost=0.768993, disagree_f1=0.624899, neural_f1=0.831419, agree_f1=0.360161, average_f1=0.605493
BATCH 80 training acc=0.781250, cost=0.549510, test acc=0.662302, cost=0.825439, disagree_f1=0.580129, neural_f1=0.819031, agree_f1=0.359707, average_f1=0.586289
