BATCH 67 training acc=0.687500, cost=0.659228, test acc=0.796989, cost=0.512092, disagree_f1=0.656875, neural_f1=0.929492, agree_f1=0.407396, average_f1=0.664588
BATCH 68 training acc=0.687500, cost=0.752209, test acc=0.809371, cost=0.483715, disagree_f1=0.661578, neural_f1=0.933828, agree_f1=0.414978, average_f1=0.670128
BATCH 69 training acc=0.687500, cost=0.697595, test acc=0.815161, cost=0.466520, disagree_f1=0.672467, neural_f1=0.934088, agree_f1=0.393858, average_f1=0.666804
BATCH 70 training acc=0.687500, cost=0.764531, test acc=0.819526, cost=0.460209, disagree_f1=0.687424, neural_f1=0.934190, agree_f1=0.374017, average_f1=0.665211
BATCH 71 training acc=0.687500, cost=0.666005, test acc=0.820862, cost=0.458744, disagree_f1=0.692831, neural_f1=0.933501, agree_f1=0.367591, average_f1=0.664641
BATCH 72 training acc=0.687500, cost=0.726108, test acc=0.821486, cost=0.461065, disagree_f1=0.695010, neural_f1=0.934298, agree_f1=0.372367, average_f1=0.667225
BATCH 73 training acc=0.781250, cost=0.523561, test acc=0.818190, cost=0.470124, disagree_f1=0.690308, neural_f1=0.933824, agree_f1=0.388365, average_f1=0.670832
BATCH 74 training acc=0.750000, cost=0.676305, test acc=0.813914, cost=0.484358, disagree_f1=0.685773, neural_f1=0.932612, agree_f1=0.409042, average_f1=0.675809
BATCH 75 training acc=0.625000, cost=0.692912, test acc=0.807500, cost=0.497391, disagree_f1=0.666667, neural_f1=0.931708, agree_f1=0.429822, average_f1=0.676066
BATCH 76 training acc=0.687500, cost=0.709044, test acc=0.794050, cost=0.522374, disagree_f1=0.623760, neural_f1=0.929132, agree_f1=0.452135, average_f1=0.668342
BATCH 77 training acc=0.656250, cost=0.749643, test acc=0.779173, cost=0.546206, disagree_f1=0.598046, neural_f1=0.922583, agree_f1=0.449873, average_f1=0.656834
BATCH 78 training acc=0.718750, cost=0.569603, test acc=0.768751, cost=0.558682, disagree_f1=0.563899, neural_f1=0.919506, agree_f1=0.450576, average_f1=0.644660
BATCH 79 training acc=0.562500, cost=1.093917, test acc=0.760378, cost=0.576073, disagree_f1=0.544118, neural_f1=0.915884, agree_f1=0.450218, average_f1=0.636740
BATCH 80 training acc=0.562500, cost=0.758000, test acc=0.758240, cost=0.587604, disagree_f1=0.554030, neural_f1=0.913275, agree_f1=0.445717, average_f1=0.637674
BATCH 81 training acc=0.656250, cost=0.716070, test acc=0.762783, cost=0.593072, disagree_f1=0.593324, neural_f1=0.911494, agree_f1=0.438676, average_f1=0.647831
BATCH 82 training acc=0.812500, cost=0.541989, test acc=0.765901, cost=0.590638, disagree_f1=0.610200, neural_f1=0.911316, agree_f1=0.436292, average_f1=0.652603
BATCH 83 training acc=0.531250, cost=0.672179, test acc=0.766791, cost=0.583261, disagree_f1=0.607330, neural_f1=0.912338, agree_f1=0.437715, average_f1=0.652461
BATCH 84 training acc=0.625000, cost=0.599709, test acc=0.763317, cost=0.581119, disagree_f1=0.584339, neural_f1=0.913149, agree_f1=0.443228, average_f1=0.646905
BATCH 85 training acc=0.718750, cost=0.866492, test acc=0.757616, cost=0.579785, disagree_f1=0.548603, neural_f1=0.913545, agree_f1=0.449737, average_f1=0.637295
